"cohort_id","concept_set_id","database_id","concept_id","concept_count","concept_subjects"
1,16,"synpuf",44823477,16,16
1,16,"synpuf",44823480,8,8
1,16,"synpuf",44823481,20,10
1,16,"synpuf",44823487,8,8
1,16,"synpuf",44823543,12,11
1,16,"synpuf",44823547,9,9
1,16,"synpuf",44824646,14,14
1,16,"synpuf",44824650,16,8
1,16,"synpuf",44824651,7,7
1,16,"synpuf",44824658,11,11
1,16,"synpuf",44824663,16,8
1,16,"synpuf",44824717,431,360
1,16,"synpuf",44824718,5,5
1,16,"synpuf",44824720,44,34
1,16,"synpuf",44825836,10,10
1,16,"synpuf",44825918,86,67
1,16,"synpuf",44825919,11,8
1,16,"synpuf",44825920,16,16
1,16,"synpuf",44826997,14,7
1,16,"synpuf",44827006,13,13
1,16,"synpuf",44827007,22,11
1,16,"synpuf",44827065,65,51
1,16,"synpuf",44827069,14,14
1,16,"synpuf",44828188,24,22
1,16,"synpuf",44828189,16,16
1,16,"synpuf",44828190,13,13
1,16,"synpuf",44828197,14,7
1,16,"synpuf",44828198,-5,-5
1,16,"synpuf",44828203,9,9
1,16,"synpuf",44829330,26,13
1,16,"synpuf",44829331,24,12
1,16,"synpuf",44829332,30,15
1,16,"synpuf",44829378,9,9
1,16,"synpuf",44830467,14,7
1,16,"synpuf",44830485,32,16
1,16,"synpuf",44830486,8,8
1,16,"synpuf",44830525,12,11
1,16,"synpuf",44831616,12,12
1,16,"synpuf",44831625,5,5
1,16,"synpuf",44831636,34,17
1,16,"synpuf",44831688,14,11
1,16,"synpuf",44831689,9,9
1,16,"synpuf",44831691,625,451
1,16,"synpuf",44832732,10,10
1,16,"synpuf",44832741,9,9
1,16,"synpuf",44832803,14,13
1,16,"synpuf",44833940,12,12
1,16,"synpuf",44833949,22,11
1,16,"synpuf",44833953,13,13
1,16,"synpuf",44833954,13,13
1,16,"synpuf",44834018,7,7
1,16,"synpuf",44834019,9,9
1,16,"synpuf",44834021,15,14
1,16,"synpuf",44834022,-5,-5
1,16,"synpuf",44835103,5,5
1,16,"synpuf",44835111,10,10
1,16,"synpuf",44835115,24,12
1,16,"synpuf",44835116,8,8
1,16,"synpuf",44835123,12,12
1,16,"synpuf",44835193,27,26
1,16,"synpuf",44835194,11,11
1,16,"synpuf",44836319,7,7
1,16,"synpuf",44836320,16,16
1,16,"synpuf",44836325,14,7
1,16,"synpuf",44836328,22,11
1,16,"synpuf",44836382,15,13
1,16,"synpuf",44837461,6,6
1,16,"synpuf",44837462,9,9
1,16,"synpuf",44837471,11,11
1,16,"synpuf",44837472,26,13
1,16,"synpuf",44837475,18,9
1,16,"synpuf",44837519,7,7
1,16,"synpuf",44837520,-5,-5
1,16,"synpuf",44837525,11,10
1,16,"synpuf",44837526,12,12
1,17,"synpuf",373503,25344,13721
1,17,"synpuf",374326,2430,2042
1,17,"synpuf",374384,6080,5012
1,17,"synpuf",376094,1661,1488
1,17,"synpuf",439276,4330,3762
1,17,"synpuf",4100252,1933,1673
1,17,"synpuf",44819589,632,314
1,17,"synpuf",44819716,22472,13036
1,17,"synpuf",44820874,1832,1728
1,17,"synpuf",44821855,297,296
1,17,"synpuf",44821856,548,270
1,17,"synpuf",44824162,288,285
1,17,"synpuf",44825444,6885,5596
1,17,"synpuf",44826645,1713,1565
1,17,"synpuf",44827313,9777,8891
1,17,"synpuf",44827798,1809,1704
1,17,"synpuf",44827800,1617,1576
1,17,"synpuf",44830089,32031,20951
1,17,"synpuf",44832387,2872,2431
1,17,"synpuf",44834735,1794,1620
1,17,"synpuf",44834736,3154,2723
1,17,"synpuf",44835949,1574,1515
1,18,"synpuf",2101823,1189,1084
1,18,"synpuf",2101933,122,122
1,18,"synpuf",2106371,1271,1137
1,18,"synpuf",2106382,527,519
1,18,"synpuf",2106622,18,18
1,18,"synpuf",2108583,85,83
1,18,"synpuf",2108681,8,8
1,18,"synpuf",2108682,15,14
1,18,"synpuf",2108838,-5,-5
1,18,"synpuf",2108841,-5,-5
1,18,"synpuf",2110236,5,5
1,18,"synpuf",2110335,-5,-5
1,18,"synpuf",2111099,-5,-5
1,18,"synpuf",2213532,7351,5734
1,18,"synpuf",2213533,1857,1558
1,18,"synpuf",2213534,7311,5835
1,18,"synpuf",2213535,585,532
1,18,"synpuf",2213536,133,110
1,18,"synpuf",2213537,33,23
1,18,"synpuf",2213538,8,8
1,18,"synpuf",2213539,18,17
1,18,"synpuf",2213540,12,12
1,18,"synpuf",2213558,8,8
1,18,"synpuf",2314000,283,279
1,18,"synpuf",2314001,943,711
1,18,"synpuf",2414347,-5,-5
1,18,"synpuf",2514400,3727,3283
1,18,"synpuf",2514404,5006,4791
1,18,"synpuf",2514405,24017,19540
1,18,"synpuf",2514406,43339,30277
1,18,"synpuf",2514407,69422,33622
1,18,"synpuf",2514408,253422,59830
1,18,"synpuf",2514409,108599,42124
1,18,"synpuf",2514410,409,407
1,18,"synpuf",2514411,880,871
1,18,"synpuf",2514412,759,750
1,18,"synpuf",2514413,27939,18973
1,18,"synpuf",2514414,16043,12730
1,18,"synpuf",2514572,-5,-5
1,18,"synpuf",2617231,69,37
1,18,"synpuf",2617342,257,257
1,18,"synpuf",2617452,7929,6951
1,18,"synpuf",2617453,295,290
1,18,"synpuf",2617454,240,237
1,18,"synpuf",2617455,362,358
1,18,"synpuf",2617456,491,486
1,18,"synpuf",2617457,117,117
1,18,"synpuf",2617458,32,32
1,18,"synpuf",2617460,21,21
1,18,"synpuf",2617477,5941,1258
1,18,"synpuf",2617478,874,383
1,18,"synpuf",42739011,-5,-5
1,18,"synpuf",42739013,-5,-5
1,18,"synpuf",42740998,-5,-5
1,18,"synpuf",44820417,5,-5
1,18,"synpuf",44821537,-5,-5
1,18,"synpuf",44824998,-5,-5
1,18,"synpuf",44825039,32,32
1,18,"synpuf",44828535,-5,-5
1,18,"synpuf",44831935,-5,-5
1,18,"synpuf",44833089,-5,-5
1,19,"synpuf",23808,286,253
1,19,"synpuf",24198,30,28
1,19,"synpuf",24973,54,54
1,19,"synpuf",73089,548,508
1,19,"synpuf",73090,1553,1341
1,19,"synpuf",73923,408,369
1,19,"synpuf",74211,172,170
1,19,"synpuf",74816,1478,1300
1,19,"synpuf",76154,407,393
1,19,"synpuf",76565,1402,1246
1,19,"synpuf",77178,184,178
1,19,"synpuf",77734,1148,996
1,19,"synpuf",78472,7668,5247
1,19,"synpuf",78605,960,870
1,19,"synpuf",78619,3120,2615
1,19,"synpuf",78907,266,260
1,19,"synpuf",78909,203,197
1,19,"synpuf",79186,9,9
1,19,"synpuf",80573,468,425
1,19,"synpuf",80591,178,175
1,19,"synpuf",81186,629,580
1,19,"synpuf",81723,1186,1039
1,19,"synpuf",132491,170,167
1,19,"synpuf",132584,1358,1347
1,19,"synpuf",138906,248,238
1,19,"synpuf",140266,1059,965
1,19,"synpuf",140273,711,648
1,19,"synpuf",192372,8,8
1,19,"synpuf",192954,76,75
1,19,"synpuf",193264,-5,-5
1,19,"synpuf",193271,-5,-5
1,19,"synpuf",193535,-5,-5
