cohort_id,concept_set_id,concept_id,database_id
1,4,40163521,synpuf
1,4,40163522,synpuf
1,4,40163523,synpuf
1,4,40163524,synpuf
1,4,40163525,synpuf
1,4,40163526,synpuf
1,4,40163527,synpuf
1,4,40163528,synpuf
1,4,40163529,synpuf
1,4,40163530,synpuf
1,4,40163531,synpuf
1,4,40163532,synpuf
1,4,40163533,synpuf
1,4,40163534,synpuf
1,4,40163535,synpuf
1,4,40163536,synpuf
1,4,40163537,synpuf
1,4,40163538,synpuf
1,4,40163539,synpuf
1,4,40163540,synpuf
1,4,40163541,synpuf
1,4,40163542,synpuf
1,4,40163543,synpuf
1,4,40163544,synpuf
1,4,40163545,synpuf
1,4,40163546,synpuf
1,4,40163547,synpuf
1,4,40163548,synpuf
1,4,40163549,synpuf
1,4,40163550,synpuf
1,4,40163551,synpuf
1,4,40163552,synpuf
1,4,40163553,synpuf
1,4,40163554,synpuf
1,4,40163555,synpuf
1,4,40163556,synpuf
1,4,40163557,synpuf
1,4,40163558,synpuf
1,4,40163559,synpuf
1,4,40163560,synpuf
1,4,40163561,synpuf
1,4,40163562,synpuf
1,4,40163563,synpuf
1,4,40163564,synpuf
1,4,40163565,synpuf
1,4,40163566,synpuf
1,4,40163567,synpuf
1,4,40163568,synpuf
1,4,40163569,synpuf
1,4,40163570,synpuf
1,4,40220924,synpuf
1,4,40220925,synpuf
1,4,40220926,synpuf
1,4,40220927,synpuf
1,4,40220928,synpuf
1,4,40220929,synpuf
1,4,40228152,synpuf
1,4,40228153,synpuf
1,4,40228154,synpuf
1,4,40228158,synpuf
1,4,40228159,synpuf
1,4,40228160,synpuf
1,4,40228161,synpuf
1,4,40228162,synpuf
1,4,40228163,synpuf
1,4,40228164,synpuf
1,4,40228165,synpuf
1,4,40239053,synpuf
1,4,40241331,synpuf
1,4,40241332,synpuf
1,4,40241333,synpuf
1,4,40241334,synpuf
1,4,40241335,synpuf
1,4,40241336,synpuf
1,4,40241337,synpuf
1,4,40244443,synpuf
1,4,40244444,synpuf
1,4,40244445,synpuf
1,4,40244446,synpuf
1,4,40244447,synpuf
1,4,40244448,synpuf
1,4,40244449,synpuf
1,4,40244450,synpuf
1,4,40702945,synpuf
1,4,40702946,synpuf
1,4,40702947,synpuf
1,4,40703286,synpuf
1,4,40703287,synpuf
1,4,40703288,synpuf
1,4,40713632,synpuf
1,4,40714132,synpuf
1,4,40714133,synpuf
1,4,40714134,synpuf
1,4,40714135,synpuf
1,4,40714136,synpuf
1,4,40714137,synpuf
1,4,40714138,synpuf
1,4,40714139,synpuf
1,4,40714140,synpuf
1,4,40714141,synpuf
1,4,40721063,synpuf
1,4,40721064,synpuf
1,4,40721065,synpuf
1,4,40747293,synpuf
1,4,40747294,synpuf
1,4,40747295,synpuf
1,4,40747296,synpuf
1,4,40747297,synpuf
1,4,40747298,synpuf
1,4,40747299,synpuf
1,4,40747300,synpuf
1,4,40747301,synpuf
1,4,40753359,synpuf
1,4,40753360,synpuf
1,4,40753361,synpuf
1,4,40753362,synpuf
1,4,40753363,synpuf
1,4,40753364,synpuf
1,4,40753365,synpuf
1,4,40753366,synpuf
1,4,40753367,synpuf
1,4,40753368,synpuf
1,4,40753369,synpuf
1,4,40753370,synpuf
1,4,40753371,synpuf
1,4,40753372,synpuf
1,4,40753373,synpuf
1,4,40753374,synpuf
1,4,40753375,synpuf
1,4,40753376,synpuf
1,4,40753377,synpuf
1,4,40753378,synpuf
1,4,40753379,synpuf
1,4,40753380,synpuf
1,4,40753381,synpuf
1,4,40753382,synpuf
1,4,40753383,synpuf
1,4,40753384,synpuf
1,4,40753385,synpuf
1,4,40753386,synpuf
1,4,40753387,synpuf
1,4,40753388,synpuf
1,4,40753389,synpuf
1,4,40753390,synpuf
1,4,40823769,synpuf
1,4,40823818,synpuf
1,4,40825363,synpuf
1,4,40825485,synpuf
1,4,40836864,synpuf
1,4,40836865,synpuf
1,4,40838273,synpuf
1,4,40846865,synpuf
1,4,40847680,synpuf
1,4,40852091,synpuf
1,4,40852092,synpuf
1,4,40852093,synpuf
1,4,40852094,synpuf
1,4,40852095,synpuf
1,4,40852096,synpuf
1,4,40852097,synpuf
1,4,40852098,synpuf
1,4,40852099,synpuf
1,4,40852100,synpuf
1,4,40855806,synpuf
1,4,40855807,synpuf
1,4,40855808,synpuf
1,4,40855809,synpuf
1,4,40855810,synpuf
1,4,40855811,synpuf
1,4,40855812,synpuf
1,4,40856898,synpuf
1,4,40856899,synpuf
1,4,40867658,synpuf
1,4,40878775,synpuf
1,4,40878776,synpuf
1,4,40878777,synpuf
1,4,40883362,synpuf
1,4,40883363,synpuf
1,4,40883364,synpuf
1,4,40883365,synpuf
1,4,40883366,synpuf
1,4,40883367,synpuf
1,4,40883368,synpuf
1,4,40883369,synpuf
1,4,40883370,synpuf
1,4,40883371,synpuf
1,4,40887128,synpuf
1,4,40887129,synpuf
1,4,40887130,synpuf
1,4,40887131,synpuf
1,4,40887132,synpuf
1,4,40887133,synpuf
1,4,40888233,synpuf
1,4,40892438,synpuf
1,4,40898752,synpuf
1,4,40900439,synpuf
1,4,40909793,synpuf
1,4,40912348,synpuf
1,4,40914281,synpuf
1,4,40914282,synpuf
1,4,40914283,synpuf
1,4,40914284,synpuf
1,4,40914285,synpuf
1,4,40914286,synpuf
1,4,40914287,synpuf
1,4,40917588,synpuf
1,4,40918015,synpuf
1,4,40918016,synpuf
1,4,40918017,synpuf
1,4,40918018,synpuf
1,4,40919167,synpuf
1,4,40919168,synpuf
1,4,40919169,synpuf
1,4,40927671,synpuf
1,4,40930195,synpuf
1,4,40931536,synpuf
1,4,40932241,synpuf
1,4,40945656,synpuf
1,4,40945657,synpuf
1,4,40945658,synpuf
1,4,40945659,synpuf
1,4,40945660,synpuf
1,4,40945661,synpuf
1,4,40945662,synpuf
1,4,40945663,synpuf
1,4,40948932,synpuf
1,4,40948933,synpuf
1,4,40949366,synpuf
1,4,40950369,synpuf
1,4,40950370,synpuf
1,4,40950371,synpuf
1,4,40952161,synpuf
1,4,40961517,synpuf
1,4,40962802,synpuf
1,4,40962803,synpuf
1,4,40974530,synpuf
1,4,40974531,synpuf
1,4,40974550,synpuf
1,4,40975536,synpuf
1,4,40976596,synpuf
1,4,40976597,synpuf
1,4,40976598,synpuf
1,4,40976599,synpuf
1,4,40976600,synpuf
1,4,40976601,synpuf
1,4,40976602,synpuf
1,4,40976603,synpuf
1,4,40976604,synpuf
1,4,40976605,synpuf
1,4,40976606,synpuf
1,4,40976607,synpuf
1,4,40979947,synpuf
1,4,40979948,synpuf
1,4,40980368,synpuf
1,4,40980369,synpuf
1,4,40980370,synpuf
1,4,40980371,synpuf
1,4,40980372,synpuf
1,4,40980373,synpuf
1,4,40980374,synpuf
1,4,40990186,synpuf
1,4,40992443,synpuf
1,4,41005948,synpuf
1,4,41005949,synpuf
1,4,41006905,synpuf
1,4,41007931,synpuf
1,4,41007932,synpuf
1,4,41007933,synpuf
1,4,41007934,synpuf
1,4,41007935,synpuf
1,4,41011696,synpuf
1,4,41012773,synpuf
1,4,41021176,synpuf
1,4,41025112,synpuf
1,4,41039023,synpuf
1,4,41039024,synpuf
1,4,41039025,synpuf
1,4,41039026,synpuf
1,4,41039027,synpuf
1,4,41042797,synpuf
1,4,41042798,synpuf
1,4,41042799,synpuf
1,4,41051392,synpuf
1,4,41054625,synpuf
1,4,41054963,synpuf
1,4,41057038,synpuf
1,4,41058806,synpuf
1,4,41058807,synpuf
1,4,41064884,synpuf
1,4,41065717,synpuf
1,4,41065718,synpuf
1,4,41065719,synpuf
1,4,41070316,synpuf
1,4,41070317,synpuf
1,4,41070318,synpuf
1,4,41070320,synpuf
1,4,41070321,synpuf
1,4,41070322,synpuf
1,4,41070323,synpuf
1,4,41070324,synpuf
1,4,41074129,synpuf
1,4,41074130,synpuf
1,4,41074131,synpuf
1,4,41074132,synpuf
1,4,41074133,synpuf
1,4,41074134,synpuf
1,4,41074135,synpuf
1,4,41075266,synpuf
1,4,41083972,synpuf
1,4,41090375,synpuf
1,4,41090376,synpuf
1,4,41090377,synpuf
1,4,41090378,synpuf
1,4,41096445,synpuf
1,4,41099688,synpuf
